title,artist,genre,mood,energy,tempo_bpm,danceability,acousticness,popularity,release_decade,mood_tag,valence,instrumentalness
Blinding Lights,The Weeknd,pop,happy,0.85,171,0.80,0.10,92,2020s,euphoric,0.83,0.00
Levitating,Dua Lipa,pop,happy,0.82,103,0.90,0.05,88,2020s,euphoric,0.91,0.00
Shivers,Ed Sheeran,pop,happy,0.78,141,0.75,0.20,81,2020s,uplifting,0.84,0.00
Someone Like You,Adele,pop,sad,0.35,67,0.40,0.85,90,2010s,melancholic,0.22,0.00
drivers license,Olivia Rodrigo,pop,sad,0.42,144,0.45,0.70,87,2020s,melancholic,0.30,0.00
Enter Sandman,Metallica,rock,intense,0.95,123,0.50,0.02,85,1990s,aggressive,0.26,0.00
Thunderstruck,AC/DC,rock,intense,0.92,133,0.55,0.01,83,1980s,aggressive,0.48,0.00
Stairway to Heaven,Led Zeppelin,rock,chill,0.55,82,0.35,0.60,88,1970s,nostalgic,0.37,0.10
lofi hip hop radio,ChilledCow,lofi,chill,0.25,85,0.60,0.90,72,2010s,nostalgic,0.45,0.85
Weightless,Marconi Union,ambient,chill,0.15,60,0.30,0.95,65,2010s,serene,0.12,0.92
Uptown Funk,Mark Ronson,funk,happy,0.88,115,0.95,0.15,89,2010s,uplifting,0.96,0.00
Bohemian Rhapsody,Queen,rock,intense,0.70,72,0.40,0.30,95,1970s,nostalgic,0.44,0.02
Shape of You,Ed Sheeran,pop,happy,0.65,96,0.83,0.58,93,2010s,uplifting,0.93,0.00
Bad Guy,Billie Eilish,pop,intense,0.43,135,0.70,0.40,88,2010s,aggressive,0.56,0.00
Smells Like Teen Spirit,Nirvana,rock,intense,0.90,117,0.50,0.05,87,1990s,aggressive,0.57,0.00
Clair de Lune,Debussy,classical,chill,0.20,70,0.25,0.98,78,1900s,serene,0.08,0.96
Midnight City,M83,electronic,happy,0.75,105,0.65,0.10,80,2010s,euphoric,0.72,0.05
Strobe,Deadmau5,electronic,chill,0.60,128,0.55,0.20,74,2010s,serene,0.38,0.78
Sandstorm,Darude,electronic,intense,0.92,136,0.80,0.05,82,2000s,aggressive,0.64,0.02
Lovely,Billie Eilish,pop,sad,0.30,115,0.35,0.75,85,2010s,melancholic,0.15,0.00
